Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
737,2,3,2,3,3,4,5,2,2,2,2,2,2,4,48,42.0,satisfied
612,2,5,3,5,5,3,3,5,4,3,4,4,5,5,118,97.0,neutral or dissatisfied
587,1,2,1,1,1,1,1,1,1,3,3,4,4,1,35,18.0,neutral or dissatisfied
3393,5,5,5,5,2,5,1,4,4,4,4,1,4,4,0,0.0,satisfied
451,1,5,5,5,3,4,4,1,1,1,1,4,1,1,0,0.0,neutral or dissatisfied
2172,5,4,5,4,2,3,5,5,5,5,5,4,5,4,0,0.0,satisfied
2352,2,2,2,2,3,4,5,4,4,5,4,5,4,5,21,21.0,satisfied
190,3,4,3,2,4,3,3,4,4,3,2,4,4,4,0,0.0,neutral or dissatisfied
1262,4,4,4,3,4,4,4,4,2,3,4,4,3,4,0,0.0,neutral or dissatisfied
2291,5,5,5,5,5,5,5,5,3,3,4,5,5,5,98,98.0,satisfied
541,4,5,4,4,2,4,2,2,4,4,5,3,4,2,0,0.0,neutral or dissatisfied
451,2,2,2,3,3,2,3,3,2,5,3,4,4,3,33,17.0,neutral or dissatisfied
545,4,4,4,3,2,4,1,2,5,3,5,4,4,2,0,0.0,satisfied
391,4,3,2,4,4,2,4,4,3,1,3,4,3,4,14,5.0,neutral or dissatisfied
533,1,4,4,4,4,4,3,1,1,2,1,2,1,3,0,0.0,neutral or dissatisfied
2971,2,2,2,2,4,4,4,4,4,4,5,3,4,4,0,0.0,satisfied
957,2,2,2,3,1,2,1,1,4,2,4,3,4,1,12,1.0,neutral or dissatisfied
3753,3,3,3,3,5,4,5,5,3,2,4,5,5,5,0,0.0,satisfied
728,3,5,3,1,2,3,2,2,4,2,4,2,5,2,0,0.0,neutral or dissatisfied
368,2,3,5,3,2,5,2,2,3,3,4,4,3,2,14,5.0,neutral or dissatisfied
299,2,0,2,4,1,2,1,1,1,2,4,1,3,1,13,3.0,neutral or dissatisfied
2502,2,3,3,3,3,4,4,2,2,2,2,4,2,2,0,0.0,neutral or dissatisfied
587,3,5,3,3,3,3,3,3,5,2,5,4,4,3,6,0.0,neutral or dissatisfied
2497,1,1,1,1,5,5,4,5,5,5,5,3,5,5,6,0.0,satisfied
1972,4,4,4,4,5,5,5,5,5,5,5,4,5,4,24,26.0,satisfied
3320,0,5,0,2,4,1,2,2,2,2,2,1,2,3,0,0.0,satisfied
95,2,3,2,1,3,1,2,1,1,2,1,1,1,2,0,6.0,neutral or dissatisfied
143,5,3,3,3,5,5,5,5,1,1,1,5,5,5,0,0.0,satisfied
599,2,5,3,5,5,3,1,5,4,3,4,5,2,5,26,18.0,neutral or dissatisfied
547,4,2,4,3,5,4,5,5,1,2,4,3,3,5,6,0.0,satisfied
1039,5,4,4,4,5,5,5,5,4,5,5,3,1,5,17,16.0,satisfied
1617,3,2,3,4,4,3,4,4,1,3,4,4,3,4,33,31.0,neutral or dissatisfied
139,3,5,5,5,3,2,3,4,4,3,4,1,4,1,0,4.0,neutral or dissatisfied
1416,1,1,1,1,5,5,4,4,4,4,4,3,4,5,13,0.0,satisfied
3871,1,1,1,1,2,4,2,4,4,4,4,1,4,5,5,6.0,satisfied
2342,2,3,2,3,4,2,4,4,3,4,3,2,4,4,2,0.0,neutral or dissatisfied
3528,1,5,5,5,1,3,3,1,1,1,1,2,1,1,0,6.0,neutral or dissatisfied
562,1,2,1,4,4,1,4,4,2,5,3,2,3,4,87,88.0,neutral or dissatisfied
322,3,4,3,1,4,3,4,4,1,1,5,1,3,4,50,37.0,neutral or dissatisfied
337,3,2,3,3,1,3,1,1,3,3,4,4,3,1,9,7.0,neutral or dissatisfied
427,2,3,3,3,4,4,4,2,2,2,2,1,2,4,4,7.0,neutral or dissatisfied
1781,1,5,1,5,4,1,4,4,5,3,4,3,4,4,0,0.0,neutral or dissatisfied
3752,5,5,5,5,5,5,5,5,4,3,4,4,5,5,3,6.0,satisfied
190,1,1,1,1,3,5,4,4,4,4,5,5,4,4,8,6.0,satisfied
1440,5,5,5,5,5,4,5,3,3,4,3,3,3,3,0,18.0,satisfied
3664,2,3,3,3,1,3,3,2,2,2,2,2,2,2,30,12.0,neutral or dissatisfied
2296,1,1,1,1,5,5,5,5,3,2,3,4,4,5,11,0.0,satisfied
1874,4,4,3,4,2,3,2,2,5,3,4,3,5,2,25,15.0,satisfied
838,3,1,3,4,2,3,2,2,2,5,3,2,3,2,1,0.0,neutral or dissatisfied
888,2,4,4,4,5,4,3,2,2,2,2,4,2,2,0,6.0,neutral or dissatisfied
505,4,4,3,3,3,3,5,3,3,3,4,4,4,3,0,8.0,satisfied
3592,2,2,2,2,5,3,4,2,2,2,2,1,2,2,0,3.0,neutral or dissatisfied
2313,1,1,1,1,5,2,1,4,4,4,4,4,4,3,0,0.0,satisfied
1250,3,3,3,4,4,3,2,4,1,3,4,2,4,4,1,6.0,neutral or dissatisfied
573,3,1,1,1,3,3,3,3,2,4,3,1,3,3,0,1.0,neutral or dissatisfied
689,3,3,3,3,2,3,2,2,4,1,5,1,5,2,0,0.0,neutral or dissatisfied
2929,4,4,4,4,5,4,4,4,4,4,4,4,4,3,0,3.0,satisfied
2220,4,4,4,4,5,5,5,5,3,3,4,5,4,5,0,0.0,satisfied
304,1,1,1,1,2,4,4,4,4,4,4,5,4,3,14,26.0,satisfied
867,5,4,5,4,2,4,5,2,3,3,4,5,5,2,0,0.0,satisfied
1390,3,4,3,3,4,3,5,4,5,3,5,1,4,4,0,0.0,neutral or dissatisfied
